,Structure_x,ID,Level_x,zscore_x,Level_y,Structure_y,zscore_y,uniprot
96664,parahippocampal gyrus,FANCE,8.3928,1.0156519770421357,8.0321,substantia nigra,0.9169675615585721,Q9HB96
96920,parahippocampal gyrus,EEF1D,8.9978,1.2434003534739948,7.9905,substantia nigra,0.9010240081134993,A0A087X1X7
97020,parahippocampal gyrus,HTR5A,2.2726,1.2882581278144964,4.4597,lateral tuberal nucleus,0.4521850905370601,P47898
97390,parahippocampal gyrus,MAP3K7,9.6752,1.4984032463581953,8.1596,substantia nigra,0.965833019833735,O43318
97426,parahippocampal gyrus,BCL7A,1.4125,1.612037265945144,3.3424,head of the caudate nucleus,0.8803998084260001,Q4VC05
97456,parahippocampal gyrus,FBXO31,1.463,1.5930268642760383,7.1389,central glial substance,0.5746410726850364,Q5XUX0
97483,parahippocampal gyrus,CLN5,9.1282,1.292488598576002,7.242,central glial substance,0.6141550236510704,A0A024R644
97703,parahippocampal gyrus,LAGE3,2.484,1.2086779513224386,3.1236,basomedial nucleus,0.9642567674111429,Q14657
98231,parahippocampal gyrus,JDP2,8.4464,1.0358293538632066,4.078,substantia nigra,0.5984748585655288,Q8WYK2
98391,parahippocampal gyrus,FAM86C1,2.997,1.0155623858521188,3.1374,substantia nigra,0.958967800162537,Q9NVL1
98643,putamen,MARS,8.7814,1.1619379589948968,7.8773,"inferior frontal gyrus, opercular part",0.8576391463350799,P56192
98653,parahippocampal gyrus,KRT9,2.0335,1.3782657919547567,3.0367,paraterminal gyrus,0.997561930737509,P35527
98783,parahippocampal gyrus,KRT10,1.7498,1.485062840539415,3.4897,"lateral group of nuclei, ventral division",0.8239458319245763,P13645
98803,parahippocampal gyrus,RAVER2,1.4823,1.5857615028460632,4.003,head of the caudate nucleus,0.6272192457862132,Q9HCJ3
99107,parahippocampal gyrus,RARRES1,9.4957,1.4308316206234535,8.2328,postcentral gyrus,0.9938875417611229,P49788
99177,parahippocampal gyrus,RARG,2.6681,1.13937468503962,3.1425,dentate gyrus,0.9570131818315305,P13631
99197,parahippocampal gyrus,PODNL1,1.5208,1.5712684243458546,3.0395,lateral tuberal nucleus,0.996488806947937,Q6PEZ8
99717,parahippocampal gyrus,RAPGEF5,8.9979,1.2434379978337355,8.0406,substantia nigra,0.9202252587769162,Q92565
