,Structure_x,ID,Level_x,zscore_x,Level_y,Structure_y,zscore_y,uniprot,GO
168986,parahippocampal gyrus,SRP54,2.4088,1.2369865098475226,5.3119,lateral tuberal nucleus,0.1255722000108319,P61011,"[u'GO:0005525', u'GO:0005634', u'GO:0005730', u'GO:0005737', u'GO:0005737', u'GO:0005786', u'GO:0005829', u'GO:0006412', u'GO:0006614', u'GO:0008312', u'GO:0006614', u'GO:0006616', u'GO:0006617', u'GO:0008144', u'GO:0008312', u'GO:0008312', u'GO:0008312', u'GO:0010467', u'GO:0016607', u'GO:0019003', u'GO:0030942', u'GO:0042493', u'GO:0043021', u'GO:0044267', u'GO:0044822', u'GO:0045047', u'GO:0005730', u'GO:0003924']"
169146,parahippocampal gyrus,SVOP,2.4997,1.2027677868431326,3.0849,substantia nigra,0.9790888712170159,Q8N4V2,"[u'GO:0008021', u'GO:0015075', u'GO:0016021', u'GO:0030054', u'GO:0030672', u'GO:0034220']"
169156,parahippocampal gyrus,ROBO1,2.5084,1.1994927275456826,3.0356,central medullary reticular group,0.9979835150834124,A0A087WTM1,[u'GO:0016021']
169492,parahippocampal gyrus,ITGA2,3.0344,1.0014833953090583,3.3926,substantia nigra,0.8611602319129555,P17301,"[u'GO:0001618', u'GO:0001666', u'GO:0002687', u'GO:0005178', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005518', u'has_input(GO:0005584),dependent_on(CHEBI:18420),occurs_in(CL:0000056)|has_input(GO:0005587),dependent_on(CHEBI:18420),occurs_in(CL:0000056)', u'GO:0005634', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005925', u'part_of(CL:1001608),dependent_on(GO:0005518)', u'GO:0005925', u'GO:0006929', u'dependent_on(GO:0005518),dependent_on(CHEBI:18420),occurs_in(CL:0000056)', u'GO:0006971', u'GO:0007155', u'GO:0007155', u'GO:0007160', u'has_input(GO:0005584),dependent_on(CHEBI:18420),occurs_in(CL:0000056)|has_input(GO:0005587),dependent_on(CHEBI:18420),occurs_in(CL:0000056)', u'GO:0007160', u'has_direct_input(GO:0005585),has_input(UniProtKB:P05556)|has_direct_input(GO:0005594),has_input(UniProtKB:P05556)', u'GO:0007229', u'GO:0007411', u'GO:0007596', u'GO:0008283', u'GO:0008305', u'GO:0009279', u'GO:0009887', u'GO:0009897', u'GO:0009986', u'GO:0009986', u'GO:0009986', u'GO:0009986', u'GO:0009986', u'GO:0009986', u'GO:0010634', u'GO:0010694', u'GO:0014070', u'GO:0014075', u'GO:0014850', u'GO:0014911', u'GO:0030198', u'GO:0030879', u'GO:0031346', u'GO:0031589', u'GO:0032870', u'GO:0032967', u'GO:0033343', u'GO:0033591', u'GO:0033627', u'has_input(GO:0005584),dependent_on(CHEBI:18420),occurs_in(CL:0000056)|has_input(GO:0005587),dependent_on(CHEBI:18420),occurs_in(CL:0000056)', u'GO:0034666', u'GO:0038064', u'has_input(GO:0005584),dependent_on(CHEBI:18420),occurs_in(CL:0000056)|has_input(GO:0005587),dependent_on(CHEBI:18420),occurs_in(CL:0000056)', u'GO:0038065', u'has_input(GO:0005584),dependent_on(CHEBI:18420),occurs_in(CL:0000056)|has_input(GO:0005587),dependent_on(CHEBI:18420),occurs_in(CL:0000056)', u'GO:0042493', u'GO:0043236', u'GO:0043388', u'GO:0043589', u'GO:0043679', u'GO:0045178', u'GO:0045184', u'GO:0045727', u'GO:0045785', u'GO:0045987', u'GO:0046718', u'GO:0046872', u'GO:0046982', u'GO:0048333', u'GO:0048471', u'GO:0048661', u'GO:0050729', u'GO:0050927', u'GO:0050966', u'GO:0051971', u'GO:0060100', u'GO:0070365', u'GO:0098639', u'has_direct_input(GO:0005585),has_input(UniProtKB:P05556)|has_direct_input(GO:0005594),has_input(UniProtKB:P05556)']"
169740,parahippocampal gyrus,ORM1,8.4227,1.0269076406046365,8.0284,lateral tuberal nucleus,0.9155495051223516,P02763,"[u'GO:0002682', u'GO:0005515', u'GO:0005576', u'GO:0005615', u'GO:0006810', u'GO:0006953', u'GO:0006954', u'GO:0070062', u'GO:0070062', u'GO:0072562']"
169750,parahippocampal gyrus,CCNT1,1.7304,1.492365846329131,3.0872,pineal gland,0.9782073766755817,O60563,"[u'GO:0000079', u'GO:0003677', u'GO:0003682', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005634', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0006351', u'GO:0006366', u'GO:0006367', u'GO:0006368', u'GO:0006368', u'GO:0006468', u'GO:0007049', u'GO:0007179', u'GO:0008024', u'GO:0010467', u'GO:0016032', u'GO:0016032', u'GO:0016032', u'GO:0017069', u'GO:0019901', u'GO:0044212', u'GO:0045944', u'GO:0050434', u'GO:0051301', u'GO:1900364', u'GO:0005730']"
169860,parahippocampal gyrus,CCNT2,2.6358,1.1515338132358994,3.1694,basomedial nucleus,0.9467035282817118,O60583,"[u'GO:0000079', u'GO:0005634', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0006351', u'GO:0006366', u'GO:0006367', u'GO:0006368', u'GO:0006368', u'GO:0007049', u'GO:0007179', u'GO:0010467', u'GO:0016032', u'GO:0016032', u'GO:0016032', u'GO:0019901', u'GO:0045944', u'GO:0051301']"
170172,parahippocampal gyrus,CD1A,2.5878,1.1696031059114849,3.4448,substantia nigra,0.8411541384073593,P06126,"[u'GO:0005515', u'GO:0005515', u'GO:0005886', u'GO:0005887', u'GO:0006955', u'GO:0010008', u'GO:0030881', u'GO:0030883', u'GO:0030884', u'GO:0048007', u'GO:0071723']"
170182,parahippocampal gyrus,TICRR,2.2396,1.3006807665289615,4.0008,pineal gland,0.62806241447802,Q7Z2Z1,"[u'GO:0000075', u'GO:0001731', u'GO:0003682', u'GO:0005515', u'GO:0005634', u'GO:0005654', u'GO:0006260', u'GO:0006281', u'GO:0010212', u'GO:0030174', u'GO:0033314']"
170614,parahippocampal gyrus,H2AFY,8.4635,1.0422665393788837,7.4613,substantia nigra,0.6982036118843511,O75367,"[u'GO:0000122', u'GO:0000182', u'GO:0000786', u'GO:0000790', u'GO:0000790', u'dependent_on(GO:0007049)', u'GO:0000790', u'GO:0000793', u'GO:0001739', u'GO:0001740', u'GO:0003677', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'occurs_in(GO:0005737)|occurs_in(GO:0005634)', u'GO:0005634', u'GO:0005634', u'GO:0005654', u'GO:0005721', u'GO:0005730', u'in_absence_of(UniProtKB:P19338)|dependent_on(GO:0006360)', u'GO:0006334', u'GO:0007549', u'GO:0010385', u'GO:0016568', u'GO:0019901', u'GO:0030291', u'GO:0031490', u'GO:0031490', u'GO:0033128', u'has_regulation_target(UniProtKB:Q99986),part_of(GO:0043987),part_of(GO:0072355)', u'GO:0044212', u'GO:0045814', u'GO:0045814', u'dependent_on(GO:0051568),dependent_on(GO:0043983),dependent_on(GO:0051567)', u'GO:0046982', u'GO:0070062', u'GO:0070062', u'GO:0071169', u'GO:0071901', u'GO:1901837', u'GO:1901837', u'GO:1902750', u'GO:0001558', u'GO:0061187', u'GO:0035098', u'dependent_on(GO:0031490)']"
171064,short insular gyri,C14orf2,2.9065,1.0496305314175456,3.0625,"paracentral lobule, anterior part",0.9876738615335937,A0A0A0MTQ5,[u'GO:0005739']
171074,parahippocampal gyrus,CAB39L,9.5708,1.459102534788797,7.5175,cingulum bundle,0.7197427393750506,Q9H9S4,"[u'GO:0005829', u'GO:0005829', u'GO:0007050', u'GO:0008286', u'GO:0070062']"
171155,parahippocampal gyrus,FAM83D,2.3102,1.2741038485519545,3.1315,inferior olivary complex,0.9612290252905642,A0A087WXK8, 
171571,parahippocampal gyrus,WASF1,2.8064,1.0873125355180893,3.7235,substantia nigra,0.7343399954952965,Q92558,"[u'GO:0003779', u'GO:0005515', u'GO:0005856', u'GO:0006461', u'GO:0006928', u'GO:0015629', u'GO:0016601', u'GO:0030041', u'GO:0030054', u'GO:0031209', u'GO:0032403', u'GO:0045202', u'GO:2000601', u'GO:0048365']"
171641,parahippocampal gyrus,CARD14,2.2631,1.2918343419898726,3.2864,trochlear nucleus,0.9018622842174443,Q9BXL6,"[u'GO:0001934', u'GO:0005737', u'GO:0005737', u'GO:0005886', u'GO:0006915', u'GO:0007250', u'GO:0033209', u'GO:0043066', u'GO:0050700', u'GO:0051092']"
172076,short insular gyri,C11orf49,2.9142,1.0467319157175035,3.1164,postcentral gyrus,0.9670162285843287,Q9H6J7,[u'GO:0005654']
172166,parahippocampal gyrus,TPO,9.1619,1.3051747478086526,7.8719,fastigial nucleus,0.8555695504551907,P07202,"[u'GO:0004447', u'GO:0004601', u'GO:0005509', u'GO:0005615', u'GO:0005739', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005887', u'GO:0006590', u'GO:0006590', u'GO:0006979', u'GO:0009986', u'GO:0020037', u'GO:0034641', u'GO:0035162', u'GO:0042446', u'GO:0042744', u'GO:0044281', u'GO:0055114']"
172326,parahippocampal gyrus,TPT1,2.5069,1.2000573929417948,3.3959,inferior olivary complex,0.8598954788752453,P13693,"[u'GO:0005509', u'GO:0005509', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005615', u'GO:0005634', u'GO:0005737', u'GO:0005737', u'GO:0005737', u'GO:0005771', u'GO:0006816', u'GO:0005509', u'GO:0006874', u'GO:0005509', u'GO:0009615', u'GO:0042981', u'GO:0043066', u'GO:0044822', u'GO:0070062', u'GO:1902230', u'GO:0045298']"
172438,short insular gyri,CSTF1,8.3568,1.002100007535447,8.2391,inferior olivary complex,0.9963020702876608,A0A087WV92, 
172498,parahippocampal gyrus,CST6,2.1977,1.316453753260358,3.5127,VIIB,0.815130886510233,Q15828,"[u'GO:0001533', u'GO:0004869', u'GO:0008544', u'GO:0009653', u'GO:0010951', u'GO:0010951', u'GO:0010951', u'GO:0070062', u'GO:0070062']"
172518,parahippocampal gyrus,MYO16,9.3422,1.3730475284213208,8.0867,central glial substance,0.9378934754552304,Q9Y6X6,"[u'GO:0003774', u'GO:0005524', u'GO:0005654', u'GO:0005737', u'GO:0005886', u'GO:0005886', u'GO:0008152', u'GO:0008285', u'GO:0016459', u'GO:0021549', u'GO:0048471', u'GO:0051015', u'GO:2000134']"
172578,parahippocampal gyrus,MEN1,1.5438,1.5626102216054696,3.3912,dentate gyrus,0.8616967938077416,O00255,"[u'GO:0000122', u'GO:0000165', u'GO:0000400', u'GO:0000403', u'GO:0000785', u'GO:0001776', u'GO:0001933', u'GO:0002051', u'GO:0002076', u'GO:0003682', u'GO:0003690', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'occurs_in(GO:0005634)', u'GO:0005515', u'GO:0005515', u'occurs_in(GO:0005634)', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'occurs_in(GO:0005634)|occurs_in(GO:0032154)|occurs_in(GO:0005829)', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005634', u'GO:0005634', u'GO:0005634', u'GO:0005634', u'GO:0005634', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005737', u'GO:0005737', u'GO:0005829', u'GO:0006281', u'GO:0006338', u'GO:0006351', u'GO:0006367', u'GO:0006974', u'GO:0007050', u'GO:0007179', u'GO:0007420', u'GO:0008285', u'GO:0009411', u'GO:0010332', u'GO:0010467', u'GO:0016363', u'GO:0030097', u'GO:0030511', u'GO:0030674', u'GO:0031062', u'GO:0032092', u'GO:0032154', u'GO:0032925', u'GO:0034968', u'GO:0035097', u'GO:0035097', u'GO:0035097', u'GO:0035097', u'GO:0043234', u'GO:0043280', u'GO:0043433', u'GO:0043433', u'GO:0043565', u'GO:0044212', u'GO:0045668', u'GO:0045669', u'GO:0045736', u'GO:0045786', u'GO:0045892', u'GO:0045944', u'GO:0046329', u'GO:0046621', u'GO:0047485', u'GO:0047485', u'GO:0047485', u'GO:0048704', u'GO:0051781', u'GO:0051974', u'GO:0060021', u'GO:0060135', u'GO:0070412', u'GO:0018024']"
172708,parahippocampal gyrus,PKN2,1.6177,1.534791039757016,3.132,perifornical nucleus,0.9610373960424263,A0A0A0MRN8,[u'GO:0007165']
172718,parahippocampal gyrus,PRKD1,2.4371,1.2263331560408752,3.1035,VIIAf,0.9719602631862864,A0A087X0K6,"[u'GO:0004697', u'GO:0005524', u'GO:0006468', u'GO:0035556', u'GO:0046872']"
172938,parahippocampal gyrus,PKN1,1.6955,1.5055037278786711,3.1253,substantia nigra,0.963605227967474,Q16512,"[u'GO:0003682', u'GO:0004672', u'GO:0004672', u'GO:0004674', u'GO:0004697', u'GO:0005080', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005524', u'GO:0005634', u'GO:0005737', u'GO:0005737', u'GO:0005768', u'GO:0005886', u'GO:0006351', u'GO:0006357', u'GO:0006357', u'GO:0006468', u'GO:0006972', u'GO:0007165', u'GO:0007257', u'GO:0010631', u'GO:0016023', u'GO:0017049', u'GO:0017049', u'GO:0030374', u'GO:0030374', u'GO:0030496', u'GO:0032154', u'GO:0035402', u'GO:0035407', u'GO:0042393', u'GO:0042826', u'GO:0048365', u'GO:0050681', u'GO:0050681', u'GO:2000145']"
173262,short insular gyri,PRKCQ,3.0122,1.0098404431715167,3.0551,postcentral gyrus,0.9905099744060346,A0A087X0I9,"[u'GO:0004697', u'GO:0005524', u'GO:0006468', u'GO:0035556', u'GO:0046872']"
173752,parahippocampal gyrus,SLC12A5,2.8419,1.0739487878101044,3.1621,postcentral gyrus,0.949501315304525,A0A087X201,"[u'GO:0005887', u'GO:0007268', u'GO:0015379', u'GO:1902476']"
174144,parahippocampal gyrus,FKBP2,2.7464,1.1098991513625713,3.3484,substantia nigra,0.8781002574483454,P26885,"[u'GO:0000413', u'GO:0003755', u'GO:0005515', u'GO:0005528', u'GO:0005783', u'GO:0005789', u'GO:0061077', u'GO:0070062']"
174392,parahippocampal gyrus,SLC16A3,8.7284,1.1419864483322715,7.2413,dentate gyrus,0.6138867427036774,O15427,"[u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005887', u'GO:0006090', u'GO:0007596', u'GO:0008028', u'GO:0015129', u'GO:0015293', u'GO:0015355', u'GO:0015629', u'GO:0015718', u'GO:0016020', u'GO:0031965', u'GO:0035879', u'GO:0044237', u'GO:0044237', u'GO:0044281', u'GO:0044822', u'GO:0050900', u'GO:0055085', u'GO:0055085']"
174462,parahippocampal gyrus,CELF1,2.4516,1.2208747238784587,3.1383,VIIB,0.9586228675158888,Q92879,"[u'GO:0000166', u'GO:0000900', u'GO:0003723', u'GO:0003729', u'GO:0005515', u'GO:0005634', u'GO:0005654', u'GO:0005737', u'GO:0006376', u'GO:0006397', u'GO:0007281', u'GO:0007286', u'GO:0009790', u'GO:0016020', u'GO:0016246', u'GO:0017148', u'GO:0030529', u'GO:0031369', u'GO:0040018', u'GO:0042835', u'GO:0043484', u'GO:0044822', u'GO:0044822']"
174552,parahippocampal gyrus,PRPF3,9.9021,1.5838182986100777,8.1877,inferior olivary complex,0.9766025835790849,O43395,"[u'GO:0000244', u'GO:0000375', u'GO:0000398', u'GO:0000398', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005634', u'GO:0005654', u'GO:0005681', u'GO:0005737', u'GO:0006397', u'GO:0008380', u'GO:0015030', u'GO:0016607', u'GO:0042802', u'GO:0044822', u'GO:0046540']"
174862,parahippocampal gyrus,KHDRBS1,9.105,1.283755107116136,7.0764,lateral tuberal nucleus,0.5506874166677995,Q07666,"[u'GO:0000086', u'GO:0003677', u'GO:0003723', u'GO:0005070', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'occurs_in(GO:0005634)', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'occurs_in(GO:0005634)', u'GO:0005515', u'occurs_in(GO:0005634)', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005634', u'GO:0005654', u'GO:0005737', u'GO:0006351', u'GO:0006397', u'GO:0007050', u'GO:0007165', u'GO:0007166', u'GO:0008143', u'GO:0008266', u'GO:0008283', u'GO:0009967', u'GO:0009967', u'GO:0016020', u'GO:0016020', u'GO:0017124', u'GO:0032403', u'GO:0042802', u'occurs_in(GO:0005634)', u'GO:0042802', u'occurs_in(GO:0005634)', u'GO:0042802', u'occurs_in(GO:0005634)', u'GO:0044822', u'GO:0044822', u'GO:0045892', u'GO:0045948', u'GO:0046831', u'GO:0046833', u'GO:0070618', u'GO:0031647']"
174892,parahippocampal gyrus,KHDRBS3,9.8876,1.5783598664476615,7.6983,central glial substance,0.7890358755017133,O75525,"[u'GO:0003723', u'GO:0005515', u'GO:0005634', u'GO:0005654', u'GO:0006351', u'GO:0006355', u'GO:0007283', u'GO:0017124', u'GO:0044822']"
175347,parahippocampal gyrus,KATNB1,8.9109,1.2106874048592369,8.1623,substantia nigra,0.96686781777368,Q9BVA0,"[u'GO:0005634', u'GO:0005737', u'GO:0005737', u'GO:0005813', u'GO:0005874', u'GO:0005886', u'GO:0006605', u'GO:0007026', u'GO:0007079', u'GO:0008017', u'GO:0008152', u'GO:0008352', u'GO:0008352', u'GO:0010942', u'GO:0010976', u'GO:0015630', u'GO:0016020', u'GO:0030424', u'GO:0030424', u'GO:0030426', u'GO:0030496', u'GO:0031117', u'GO:0043025', u'GO:0045502', u'GO:0046982', u'GO:0051013', u'GO:0051301', u'GO:0000922', u'GO:0008568']"
175539,parahippocampal gyrus,ST7,8.4667,1.0434711588905894,8.1001,caudal group of intralaminar nuclei,0.9430291393053256,Q9NRC1,[u'GO:0016021']
175549,parahippocampal gyrus,S100A11,1.421,1.6088374953671756,3.841,CA4 field,0.6893071221828911,P31949,"[u'GO:0001726', u'GO:0005509', u'GO:0005515', u'occurs_in(GO:0005737)', u'GO:0005615', u'GO:0005615', u'GO:0005634', u'GO:0005634', u'GO:0005654', u'GO:0005737', u'GO:0005737', u'GO:0007165', u'GO:0008156', u'GO:0008285', u'GO:0042803', u'GO:0044548', u'GO:0048306', u'GO:0070062', u'GO:0070062', u'GO:0070062']"
175559,parahippocampal gyrus,S100A12,1.5779,1.5497734949338557,3.5137,CA4 field,0.8147476280139573,P80511,"[u'GO:0002548', u'GO:0005507', u'GO:0005509', u'GO:0005515', u'GO:0005576', u'GO:0005576', u'GO:0005576', u'GO:0005634', u'GO:0005737', u'GO:0005829', u'GO:0005856', u'GO:0005886', u'GO:0006805', u'GO:0006954', u'GO:0008270', u'GO:0008270', u'GO:0030593', u'GO:0031640', u'GO:0042742', u'GO:0043123', u'GO:0043406', u'GO:0045087', u'GO:0045087', u'GO:0045576', u'GO:0050663', u'GO:0050729', u'GO:0050786', u'GO:0050786', u'GO:0050786', u'GO:0050832', u'GO:0050832', u'GO:0051092']"
175609,parahippocampal gyrus,JAG1,1.7006,1.5035838655318905,4.7017,substantia nigra,0.3594365344383189,A0A087WXH5,[u'GO:0005509']
175619,parahippocampal gyrus,AGTR2,2.5239,1.1936578517858583,3.064,trochlear nucleus,0.98709897378918,P50052,"[u'GO:0001974', u'GO:0001991', u'GO:0002018', u'GO:0002033', u'GO:0002035', u'GO:0004945', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005576', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005887', u'GO:0004945', u'GO:0006883', u'GO:0006954', u'GO:0006954', u'GO:0007166', u'GO:0007186', u'GO:0004945', u'GO:0007199', u'GO:0007263', u'GO:0051000', u'GO:0007263', u'GO:0007420', u'GO:0008134', u'GO:0008217', u'GO:0008284', u'GO:0010243', u'GO:0010459', u'GO:0010700', u'GO:0017046', u'GO:0021695', u'GO:0030308', u'GO:0032304', u'GO:0032516', u'GO:0035556', u'GO:0035566', u'GO:0035640', u'GO:0035815', u'GO:0035932', u'GO:0038166', u'GO:0038166', u'GO:0038166', u'GO:0038166', u'GO:0042416', u'GO:0042990', u'GO:0043537', u'GO:0045429', u'GO:0051000', u'GO:0045893', u'GO:0045909', u'GO:0045909', u'GO:0048019', u'GO:0048147', u'GO:0048471', u'GO:0050715', u'GO:0051000', u'GO:0051387', u'GO:0061049', u'GO:0071549', u'GO:0072300', u'GO:0090190', u'GO:0090190', u'GO:1900116', u'GO:2001238']"
175859,parahippocampal gyrus,CBLN1,8.6283,1.1043044442317271,8.0292,CA1 field,0.9158561119193721,P23435,"[u'GO:0005576', u'GO:0007157', u'GO:0007268', u'GO:0007399', u'GO:0009306', u'GO:0021707', u'GO:0030054', u'GO:0042803', u'GO:0045211', u'GO:0051965']"
175929,parahippocampal gyrus,RUNX2,2.1714,1.3263542198721892,3.1531,inferior olivary complex,0.9529506417710072,Q13950,"[u'GO:0000790', u'GO:0000978', u'GO:0000979', u'GO:0001077', u'GO:0001503', u'GO:0001649', u'GO:0001649', u'GO:0001958', u'GO:0002051', u'GO:0002063', u'GO:0002076', u'GO:0003682', u'GO:0003700', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'occurs_in(GO:0005634)', u'GO:0005524', u'GO:0005654', u'GO:0005667', u'GO:0005737', u'GO:0006367', u'GO:0006367', u'GO:0008284', u'GO:0010467', u'GO:0019904', u'GO:0030217', u'GO:0030509', u'GO:0032332', u'GO:0035115', u'GO:0040036', u'GO:0042475', u'GO:0042487', u'GO:0043425', u'GO:0045669', u'GO:0045879', u'GO:0045892', u'GO:0045893', u'GO:0048469', u'GO:0048701', u'GO:0048863', u'GO:0070491', u'GO:0071773', u'GO:1901522']"
176299,parahippocampal gyrus,ENO2,2.6826,1.1339162528772038,3.1837,substantia nigra,0.941222931784968,P09104,"[u'GO:0000015', u'GO:0000287', u'GO:0001917', u'GO:0004634', u'GO:0005615', u'GO:0005829', u'GO:0005829', u'GO:0005886', u'GO:0005975', u'GO:0006006', u'GO:0006094', u'GO:0006096', u'GO:0006096', u'GO:0009405', u'GO:0009405', u'GO:0043204', u'GO:0044281', u'GO:0070062', u'GO:0070062']"
176587,parahippocampal gyrus,ENPEP,10.2514,1.715310047184703,6.9831,substantia nigra,0.5149293989652686,Q07075,"[u'GO:0001525', u'GO:0002003', u'GO:0002005', u'GO:0003081', u'GO:0003081', u'GO:0004177', u'GO:0005765', u'GO:0005886', u'GO:0005887', u'GO:0005903', u'GO:0006508', u'GO:0007267', u'GO:0008237', u'GO:0008270', u'GO:0008283', u'GO:0008283', u'GO:0009897', u'GO:0016324', u'GO:0016477', u'GO:0031410', u'GO:0032835', u'GO:0044267', u'GO:0045177', u'GO:0070006', u'GO:0070006', u'GO:0070062', u'GO:0070062', u'GO:0070062']"
176607,parahippocampal gyrus,VIT,1.8332,1.4536674445155855,3.0974,caudal group of intralaminar nuclei,0.9742981400135686,Q6UXI7,"[u'GO:0005539', u'GO:0005614', u'GO:0010811', u'GO:0030198']"
176919,long insular gyri,HBZ,2.9067,1.0495552426980639,3.1592,"inferior frontal gyrus, opercular part",0.9506127649437249,P02008,"[u'GO:0000122', u'GO:0005344', u'GO:0005506', u'GO:0005515', u'GO:0005515', u'GO:0005833', u'GO:0015671', u'GO:0019825', u'GO:0020037', u'GO:0043249', u'GO:0070062']"
177306,parahippocampal gyrus,SGCD,8.7928,1.1662294160053484,7.9353,CA1 field,0.8798681391190756,Q92629,"[u'GO:0005737', u'GO:0005856', u'GO:0005886', u'GO:0007517', u'GO:0007517', u'GO:0016010', u'GO:0016012', u'GO:0016021', u'GO:0042383', u'GO:0048738', u'GO:0055001', u'GO:0060047', u'GO:0061024']"
177336,parahippocampal gyrus,TBX15,2.7874,1.094464963868842,3.0462,paraventricular nuclei of thalamus,0.9939209750228892,Q96SF7,"[u'GO:0000122', u'GO:0000976', u'GO:0001106', u'GO:0003700', u'GO:0006351', u'GO:0042803', u'GO:0046982', u'GO:0048701', u'GO:0070722']"
177346,parahippocampal gyrus,ZNF175,2.4615,1.2171479322641192,3.0472,habenular nuclei,0.9935377165266133,Q9Y473,"[u'GO:0003677', u'GO:0003700', u'GO:0005654', u'GO:0005737', u'GO:0006351', u'GO:0006355', u'GO:0045111', u'GO:0046872', u'GO:0051607']"
177772,parahippocampal gyrus,DNAJC11,2.9344,1.0391277550498614,3.0363,"paracentral lobule, anterior part",0.9977152341360194,Q9NVH1,"[u'GO:0005515', u'GO:0005743', u'GO:0070062']"
177832,parahippocampal gyrus,VPS35,2.1456,1.3360664646853164,4.7005,VIIAt,0.3598964446338498,Q96QK1,"[u'GO:0005515', u'GO:0005515', u'occurs_in(GO:0005768)|occurs_in(GO:0030904)', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'occurs_in(GO:0005768)|occurs_in(GO:0030904)', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005765', u'GO:0005768', u'GO:0005768', u'GO:0005769', u'GO:0005770', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0006886', u'GO:0008565', u'GO:0030904', u'GO:0042147', u'GO:0042147', u'GO:0045056', u'GO:0070062', u'GO:0070062', u'GO:0097422', u'GO:1902823', u'GO:1990126']"
177965,putamen,FAM222B,9.1656,1.3065675891190625,7.5911,lateral tuberal nucleus,0.7479505647009488,Q8WU58,[u'GO:0005654']
178325,parahippocampal gyrus,HIST1H2AI,2.9245,1.0428545466642007,3.0763,"inferior frontal gyrus, opercular part",0.9823848942849879,P0C0S8,"[u'GO:0000786', u'GO:0003677', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005634', u'independent_of(GO:0007049)', u'GO:0005634', u'GO:0008150', u'GO:0019899', u'GO:0046982', u'GO:0070062', u'GO:0070062', u'GO:0070062']"
