,Structure_x,ID,Level_x,zscore_x,Level_y,Structure_y,zscore_y,uniprot,GO
3034,parahippocampal gyrus,LRRC47,2.3793,1.2480915959710595,3.4278,substantia nigra,0.8476695328440477,Q8N1G4,"[u'GO:0004826', u'GO:0005515', u'GO:0008152', u'GO:0044822']"
3524,parahippocampal gyrus,NUMBL,2.2495,1.296953974914622,3.153,substantia nigra,0.9529889676206347,Q9Y6R0,"[u'GO:0005515', u'GO:0005515', u'GO:0005737', u'GO:0007399', u'GO:0007409', u'GO:0019221', u'GO:0019538', u'GO:0021670', u'GO:0021849', u'GO:0034332', u'GO:0050769', u'GO:0050775']"
3544,parahippocampal gyrus,ZNF512B,1.5148,1.5735270859303023,3.2218,"lateral group of nuclei, dorsal division",0.9266207830768604,Q96KM6,"[u'GO:0003677', u'GO:0005634', u'GO:0006351', u'GO:0006355', u'GO:0046872']"
4029,short insular gyri,DOHH,3.0047,1.0126637701520766,3.1544,precentral gyrus,0.9524524057258487,Q9BU89,"[u'GO:0005515', u'GO:0005575', u'GO:0005829', u'GO:0008612', u'GO:0008612', u'GO:0019135', u'GO:0019135', u'GO:0043687', u'GO:0043687', u'GO:0044267', u'GO:0046872', u'GO:0055114']"
4049,parahippocampal gyrus,IRX3,2.6581,1.1431391210137003,3.841,paraterminal gyrus,0.6893071221828911,P78415,"[u'GO:0001656', u'GO:0005634', u'GO:0005737', u'GO:0006351', u'GO:0006355', u'GO:0007498', u'GO:0030424', u'GO:0043565', u'GO:0045665', u'GO:0045666', u'GO:0072086']"
4059,parahippocampal gyrus,IRX6,2.1438,1.3367440631606509,3.0785,"paracentral lobule, posterior part",0.9815417255931811,P78412,"[u'GO:0005634', u'GO:0006355', u'GO:0043565']"
4249,parahippocampal gyrus,CLCA1,2.3359,1.264429248098568,3.3785,perifornical nucleus,0.8665641767104442,A8K7I4,"[u'GO:0005254', u'GO:0005615', u'GO:0005886', u'GO:0005887', u'GO:0005902', u'GO:0006508', u'GO:0006810', u'GO:0006816', u'GO:0006821', u'GO:0008237', u'GO:0034220', u'GO:0042589', u'GO:0046872', u'GO:0055085', u'GO:0055085', u'GO:0071456', u'GO:1902476']"
4553,parahippocampal gyrus,CLC,2.9469,1.034422210082261,3.0773,postcentral gyrus,0.982001635788712,Q05315,"[u'GO:0002667', u'GO:0002724', u'GO:0005515', u'GO:0005829', u'GO:0007275', u'GO:0030246', u'GO:0046006', u'GO:0070231', u'GO:0097153', u'GO:0004622']"
4893,parahippocampal gyrus,PIR,8.3629,1.0043963134796359,8.1304,lateral tuberal nucleus,0.9546418717424823,O00625,"[u'GO:0003712', u'GO:0005515', u'GO:0005634', u'GO:0005737', u'GO:0005737', u'GO:0006355', u'GO:0006366', u'GO:0008127', u'GO:0030224', u'GO:0046872', u'GO:0055114']"
5241,parahippocampal gyrus,FCN3,2.4967,1.2038971176353566,3.3396,precentral gyrus,0.8814729322155723,O75636,"[u'GO:0001867', u'GO:0001867', u'GO:0001867', u'GO:0003823', u'GO:0005515', u'GO:0005515', u'GO:0005576', u'GO:0005576', u'GO:0005576', u'GO:0005576', u'GO:0005576', u'GO:0005581', u'GO:0006956', u'GO:0006956', u'GO:0030246', u'GO:0043654', u'GO:0045087', u'GO:0046597', u'GO:0051607', u'GO:0072562', u'GO:1902679']"
5473,parahippocampal gyrus,AP3B1,8.7892,1.1648742190546792,7.6941,CA1 field,0.787426189817355,O00203,"[u'GO:0005765', u'GO:0005794', u'GO:0006622', u'GO:0006886', u'GO:0007596', u'GO:0008089', u'GO:0016020', u'GO:0019903', u'GO:0030123', u'GO:0030665', u'GO:0030742', u'occurs_in(GO:0016020)', u'GO:0030742', u'occurs_in(GO:0016020)', u'GO:0032438', u'GO:0048007', u'GO:0048490', u'GO:0051138']"
5593,parahippocampal gyrus,PPFIA3,2.6079,1.1620365896035836,3.0432,gigantocellular group,0.9950707505117165,O75145,"[u'GO:0005515', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0007268', u'GO:0007268', u'GO:0007269', u'GO:0007269', u'GO:0009986', u'GO:0014047', u'GO:0048172', u'GO:0048786']"
5603,parahippocampal gyrus,WIPF1,1.514,1.5738282408082287,3.3821,X,0.8651844461238513,A0A087WW70,"[u'GO:0003779', u'GO:0008154', u'GO:0015629']"
6187,parahippocampal gyrus,EPB41L1,8.6003,1.0937640235043027,5.9,substantia nigra,0.09982212164896047,Q9H4G0,"[u'GO:0003779', u'GO:0005198', u'GO:0005829', u'GO:0005856', u'GO:0005886', u'GO:0007268', u'GO:0007268', u'GO:0019898', u'GO:0030866']"
6223,parahippocampal gyrus,EPB41,2.7305,1.1158846045613589,3.0836,short insular gyri,0.9795871072621745,P11171,"[u'GO:0003779', u'GO:0005200', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005516', u'GO:0005545', u'GO:0005634', u'GO:0005794', u'GO:0005886', u'GO:0008015', u'GO:0008091', u'GO:0014731', u'GO:0019898', u'GO:0030036', u'GO:0030507', u'GO:0030863', u'GO:0030866', u'GO:0032092', u'GO:0043231', u'GO:0043234']"
6233,parahippocampal gyrus,MUT,1.7334,1.4912365155369067,3.307,caudal group of intralaminar nuclei,0.8939671591941631,P22033,"[u'GO:0004494', u'GO:0005739', u'GO:0005759', u'GO:0005759', u'GO:0005759', u'GO:0005759', u'GO:0006635', u'GO:0006766', u'GO:0006767', u'GO:0009235', u'GO:0009791', u'GO:0019626', u'GO:0031419', u'GO:0044255', u'GO:0044281', u'GO:0046872', u'GO:0050667', u'GO:0072341']"
6243,parahippocampal gyrus,THUMPD1,1.4208,1.6089127840866575,3.4193,central glial substance,0.8509272300623919,Q9NXG2,[u'GO:0044822']
6628,parahippocampal gyrus,SEPT2,9.5184,1.4393768902846158,5.7928,substantia nigra,0.058736810848195535,Q15019,"[u'GO:0000145', u'GO:0000777', u'GO:0002036', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005525', u'GO:0005634', u'GO:0005634', u'GO:0005654', u'GO:0005730', u'GO:0005737', u'GO:0005737', u'GO:0005819', u'GO:0007067', u'GO:0007224', u'GO:0015629', u'GO:0030234', u'GO:0030496', u'GO:0031175', u'GO:0032154', u'GO:0032880', u'GO:0032947', u'GO:0035869', u'GO:0042384', u'GO:0045202', u'GO:0048471', u'GO:0050790', u'GO:0051301', u'GO:0060170', u'GO:0070062', u'GO:0070062', u'GO:0005938']"
6876,parahippocampal gyrus,SLC6A7,2.6533,1.144946050281259,4.4459,substantia nigra,0.4574740577856659,Q99884,"[u'GO:0005328', u'GO:0005886', u'GO:0005887', u'GO:0006810', u'GO:0006836', u'GO:0015824', u'GO:0016020', u'GO:0055085', u'GO:0055085']"
7002,parahippocampal gyrus,SLC6A6,2.3553,1.2571262423088523,3.0341,gigantocellular group,0.9985584028278262,A0A087WY96,"[u'GO:0005328', u'GO:0005369', u'GO:0005887', u'GO:0006836', u'GO:0015849', u'GO:0055085']"
7232,parahippocampal gyrus,ITFG1,2.0852,1.3588036579687615,3.8767,lateral tuberal nucleus,0.6756247938658455,Q8TB96,"[u'GO:0016021', u'GO:0070062']"
